Recreativo IES La Orden,club@badmintonlaorden.es; gerente@badmintonlaorden.es
Puertas Padilla Cartagena,club@badmintoncartagena.es; c.bad.cartagena@gmail.com; pablo.caparros@hotmail.com
Oviedo,info@badmintonoviedo.com; cbonicolas@gmail.com; cesar@badmintonoviedo.com
Rinconada - Sevilla,cbrinconada@gmail.com; antonio.molina.ortega@gmail.com; ropinmar1978@hotmail.com
Ravachol Pontevedra,cbpontevedra@gmail.com; jpereiro93@gmail.com
UD Ibiza - Badminton Pitius,bad.ibiza@gmail.com; ernestogarciaibz@gmail.com
Alicante Intercity,majealmagro@hotmail.com
San Fernando Valencia,sanfernandobadminton@gmail.com
Astures,INFO@BADMINTONASTURES.COM; davidgcasanovas@gmail.com
Huesca La Magia,bdmntnhuesca@gmail.com; constante57@gmail.com; contacto@badmintonhuesca.es
Arjonilla,figueraslara@hotmail.com; moyanodelgado@yahoo.es; gestion@clubbadmintonarjonilla.com
As Neves,asnevescbasneves@gmail.com
Granollers,badgranollers@gmail.com
CDB Huelva,cdb_huelva@hotmail.com;
Ibiza Badminton Club,bad.ibiza@gmail.com
Athlos,clubpolideportivoathlos@gmail.com
Oviedo B,cesar@badmintonoviedo.com; info@badmintonoviedo.com
Benalmádena,badmintonbenalmadena@gmail.com
CD Universidad de Valladolid,cduvabad@gmail.com; enrifernanpolo@gmail.com
C.E.R Vigo,clubescolarosalia.bad@gmail.com
Club del Mar de San Amaro,badminton@clubdelmardesanamaro.com; ruben_espi76@hotmail.com
Paracuellos,presidentecbparacuellos@gmail.com
Maó,pepcosta@hotmail.com; cbmahon@gmail.com
CIDE,alberto.fernandez@cide.es; danicoletom@gmail.com; cbadcide@gmail.com
Recreativo IES La Orden B,club@badmintonlaorden.es; gerente@badmintonlaorden.es
Palma,rafaelabrines@hotmail.com; jdvmallorca@gmail.com
Burgos,raulguma1@gmail.com
Estella,cbeestella@gmail.com; vir_baque@hotmail.com;angelurra73@gmail.com
Cura Mora,manucaperote@yahoo.es
Soria-CS24,club@badmintonsoria.com
Tenzul El Rosario,badmintonelrosario@hotmail.com
Drop Valencia,ivan.gallardo@uv.es; cbdropvalencia@gmail.com
Benalmádena B,badmintonbenalmadena@gmail.com
Larios Rental Jorge Guillen,susanagim@hotmail.com; susanagim@icloud.com; info@badmintonjorgeguillen.com
Recreativo IES La Orden C,club@badmintonlaorden.es; gerente@badmintonlaorden.es
San Fernando Valencia B,sanfernandobadminton@gmail.com
Arroyo Tejada,badminton.arroyotejada@gmail.com
Rinconada - Sevilla B,cbrinconada@gmail.com; antonio.molina.ortega@gmail.com; ropinmar1978@hotmail.com
Belmecher,badminton@belmecher.eu
Poona,manuterapia@hotmail.es; poonabad22@gmail.com
Bádminton Laguna,club@badmintonlaguna.es
RSL Tenerife,davidgcasanovas@gmail.com
Huesca La Magia B        ,bdmntnhuesca@gmail.com;constante57@gmail.com; contacto@badmintonhuesca.es
CD Bádminton Zamora,cdbadzamora@gmail.com
A Estrada,jpereiro93@gmail.com
Albacete,badminton_albacete@hotmail.com
Auria Bádminton Club,auriabadclub@gmail.com
Las Torres,club.badlastorres@gmail.com
Hinojeros Granadilla,leyaalonso@hotmail.es
Viladecans BCN,badviladecans@gmail.com
Valladolid,direccion@badmintonvalladolid.com
CB Bádminton Alfajarín,alfajarinbad@hotmail.com
Tenzul El Rosario B,badmintonelrosario@hotmail.com
Goose Wings,clubgoosewings@gmail.com
C.D Bádminton Albatros,agustinj@jccm.es
Caparina Candelaria,badtenerife2018@gmail.com; davidgcasanovas@gmail.com
A Mariña,badamarinha@gmail.com
