Team;Lidnummer;Positie
Albacete;19798;0
Albacete;21587;0
Albacete;1004459;0
Albacete;1000012;0
Albacete;1002488;0
Albacete;1002223;0
Albacete;1000153;0
Albacete;9346;0
Albacete;49;0
Albacete;6904;0
Albacete;1000152;0
Albacete;15172;0
Albacete;10114;0
Albacete;1006862;0
RSL Tenerife;7566;0
Rinconada - Sevilla B;16866;0
Arroyo Tejada;1006049;0
Arroyo Tejada;1002175;0
Arroyo Tejada;7108;0
Arroyo Tejada;1755;0
Arroyo Tejada;14556;0
Arroyo Tejada;9430;0
Arroyo Tejada;16582;0
Arroyo Tejada;1131;0
Arroyo Tejada;14558;0
Arroyo Tejada;20746;0
Arroyo Tejada;1006065;0
RSL Tenerife;1004310;0
Poona;6646;0
Bádminton Laguna;725658;0
Bádminton Laguna;1001197;0
Bádminton Laguna;18318;0
Bádminton Laguna;1441;0
Bádminton Laguna;730001;0
Bádminton Laguna;725655;0
Bádminton Laguna;8598;0
Bádminton Laguna;730002;0
Bádminton Laguna;1001196;0
RSL Tenerife;1010007;0
RSL Tenerife;11441;0
RSL Tenerife;1007962;0
RSL Tenerife;11363;0
RSL Tenerife;14984;0
RSL Tenerife;1005348;0
RSL Tenerife;14138;0
RSL Tenerife;12772;0
RSL Tenerife;12773;0
RSL Tenerife;727328;0
RSL Tenerife;1007036;0
RSL Tenerife;1010098;0
Arroyo Tejada;14690;0
Arroyo Tejada;16620;0
Arroyo Tejada;30943;0
Zamora;17562;0
A Estrada;17803;0
A Estrada;730717;0
A Estrada;1005841;0
A Estrada;492;0
A Estrada;20017;0
A Estrada;16691;0
A Estrada;632;0
A Estrada;1009954;0
A Estrada;17824;0
A Estrada;8697;0
A Estrada;753308;0
Recreativo IES La Orden C;10449;0
Recreativo IES La Orden C;19288;0
Recreativo IES La Orden C;8135;0
Recreativo IES La Orden C;17180;0
Recreativo IES La Orden C;2670;0
Recreativo IES La Orden C;1006966;0
Recreativo IES La Orden C;12116;0
Recreativo IES La Orden C;10912;0
Recreativo IES La Orden C;15452;0
Recreativo IES La Orden C;10137;0
Recreativo IES La Orden C;12104;0
A Estrada;730624;0
A Estrada;729572;0
Belmecher;18402;0
Belmecher;14263;0
Belmecher;730609;0
Belmecher;14855;0
Belmecher;1001321;0
Belmecher;513;0
Belmecher;7965;0
Belmecher;730610;0
Belmecher;19631;0
Belmecher;396;0
Poona;1009975;0
Poona;18594;0
Poona;1009978;0
Poona;1007670;0
Poona;14194;0
Poona;6453;0
Poona;20735;0
Poona;1009965;0
Poona;1009977;0
RSL Tenerife;4471;0
RSL Tenerife;13030;0
Belmecher;9238;0
Zamora;14847;0
Huesca La Magia B;7234;0
Huesca La Magia B;1010114;0
Huesca La Magia B;20602;0
Huesca La Magia B;719;0
Huesca La Magia B;726197;0
Huesca La Magia B;17306;0
Huesca La Magia B;16573;0
Huesca La Magia B;20400;0
Huesca La Magia B;7931;0
Huesca La Magia B;730426;0
Poona;8854;0
Albacete;8997;0
RSL Tenerife;725918;0
Zamora;14495;0
Belmecher;19916;0
Belmecher;14721;0
Rinconada - Sevilla B;6124;0
Rinconada - Sevilla B;753544;0
Rinconada - Sevilla B;17399;0
San Fernando Valencia B;12156;0
San Fernando Valencia B;728300;0
San Fernando Valencia B;8662;0
San Fernando Valencia B;19597;0
San Fernando Valencia B;727998;0
San Fernando Valencia B;21205;0
San Fernando Valencia B;8728;0
San Fernando Valencia B;22014;0
San Fernando Valencia B;19457;0
San Fernando Valencia B;17153;0
San Fernando Valencia B;725683;0
San Fernando Valencia B;21174;0
San Fernando Valencia B;8505;0
San Fernando Valencia B;12784;0
San Fernando Valencia B;31096;0
San Fernando Valencia B;40423;0
Zamora;18647;0
Huesca La Magia B;725428;0
Zamora;1004473;0
Zamora;17418;0
Zamora;752768;0
Zamora;12813;0
Zamora;40156;0
Zamora;1006714;0
Zamora;1191;0
Zamora;725634;0
Zamora;725801;0
Zamora;12814;0
Zamora;21139;0
Bádminton Laguna;753041;0
Poona;1010222;0
Rinconada - Sevilla B;1008371;0
Rinconada - Sevilla B;8489;0
Rinconada - Sevilla B;1007404;0
Rinconada - Sevilla B;6413;0
Rinconada - Sevilla B;1005625;0
Rinconada - Sevilla B;1008891;0
San Fernando Valencia B;22053;0
San Fernando Valencia B;Baja1;0
San Fernando Valencia B;Baja2;0
