Team;Lidnummer;Positie
Arjonilla;7259;0
Arjonilla;12346;0
Arjonilla;752928;0
Arjonilla;752506;0
Arjonilla;8765;0
Arjonilla;7262;0
Arjonilla;10714;0
Arjonilla;21506;0
Arjonilla;1011;0
Arjonilla;752925;0
Arjonilla;1006870;0
As Neves;7535;0
As Neves;21828;0
As Neves;15439;0
As Neves;752007;0
As Neves;728278;0
As Neves;4482;0
As Neves;1009735;0
As Neves;1000035;0
As Neves;1992;0
As Neves;1665;0
As Neves;726575;0
As Neves;11956;0
As Neves;17918;0
As Neves;17329;0
As Neves;1004060;0
As Neves;476;0
Athlos;10454;0
Athlos;725354;0
Athlos;731005;0
Athlos;7608;0
Athlos;7174;0
Athlos;8539;0
Athlos;22253;0
Athlos;6919;0
Athlos;40267;0
Athlos;30784;0
Benalmádena;16266;0
Benalmádena;8130;0
Benalmádena;12044;0
Benalmádena;402;0
Benalmádena;11955;0
Benalmádena;1002777;0
Benalmádena;7612;0
Benalmádena;7395;0
Benalmádena;1008170;0
Benalmádena;603;0
C.E.R Vigo;725350;0
C.E.R Vigo;727654;0
C.E.R Vigo;1000181;0
C.E.R Vigo;1006734;0
C.E.R Vigo;19335;0
C.E.R Vigo;13002;0
C.E.R Vigo;1889;0
C.E.R Vigo;11368;0
C.E.R Vigo;1004009;0
C.E.R Vigo;1006977;0
C.E.R Vigo;1010103;0
C.E.R Vigo;1004374;0
C.E.R Vigo;1888;0
C.E.R Vigo;1004110;0
C.E.R Vigo;730251;0
C.E.R Vigo;6089;0
C.E.R Vigo;10432;0
CDB Huelva;14797;0
Ibiza Badminton Club;10260;0
Paracuellos;41926;0
Benalmádena;18575;0
Arjonilla;12293;0
C.E.R Vigo;6087;0
Paracuellos;6424;0
Paracuellos;12364;0
Paracuellos;11620;0
Paracuellos;1000129;0
Paracuellos;11232;0
Paracuellos;1003087;0
Paracuellos;752281;0
Paracuellos;1003118;0
Paracuellos;730840;0
Paracuellos;13029;0
Ibiza Badminton Club;13061;0
Ibiza Badminton Club;13060;0
"CD Universidad de Valladolid	";21671;0
Granollers;20411;0
Granollers;10275;0
Granollers;16422;0
Granollers;6079;0
Granollers;8669;0
Granollers;6205;0
Granollers;21080;0
Granollers;30732;0
Granollers;31169;0
Granollers;21251;0
Granollers;18445;0
CDB Huelva;16607;0
CDB Huelva;1006125;0
CDB Huelva;1009773;0
CDB Huelva;19098;0
CDB Huelva;1009771;0
CDB Huelva;17942;0
CDB Huelva;1008150;0
CDB Huelva;1009772;0
Ibiza Badminton Club;9;0
Ibiza Badminton Club;1001987;0
Ibiza Badminton Club;1001459;0
Ibiza Badminton Club;14334;0
Ibiza Badminton Club;12623;0
Ibiza Badminton Club;1004363;0
Ibiza Badminton Club;18636;0
Ibiza Badminton Club;41613;0
Ibiza Badminton Club;1010144;0
Ibiza Badminton Club;9424;0
Ibiza Badminton Club;11933;0
Ibiza Badminton Club;753997;0
Arjonilla;30507;0
CDB Huelva;17147;0
CDB Huelva;17149;0
Arjonilla;753734;0
Oviedo B;725296;0
Oviedo B;725151;0
Oviedo B;18749;0
Oviedo B;30314;0
Oviedo B;727421;0
Oviedo B;752036;0
Oviedo B;41483;0
Oviedo B;31054;0
Oviedo B;31055;0
Oviedo B;18414;0
CDB Huelva;15184;0
Ibiza Badminton Club;10;0
Benalmádena;10249;0
Club del Mar de San Amaro;41437;0
Club del Mar de San Amaro;545;0
Club del Mar de San Amaro;8497;0
Club del Mar de San Amaro;19481;0
Club del Mar de San Amaro;7166;0
Club del Mar de San Amaro;10082;0
Club del Mar de San Amaro;1396;0
Club del Mar de San Amaro;727348;0
Club del Mar de San Amaro;40147;0
Club del Mar de San Amaro;12407;0
Club del Mar de San Amaro;41432;0
Club del Mar de San Amaro;16448;0
Club del Mar de San Amaro;16449;0
Club del Mar de San Amaro;10105;0
Club del Mar de San Amaro;14977;0
Club del Mar de San Amaro;40148;0
Oviedo B;14592;0
"CD Universidad de Valladolid	";11586;0
"CD Universidad de Valladolid	";9028;0
"CD Universidad de Valladolid	";10956;0
"CD Universidad de Valladolid	";6086;0
"CD Universidad de Valladolid	";1713;0
"CD Universidad de Valladolid	";2045;0
"CD Universidad de Valladolid	";7426;0
"CD Universidad de Valladolid	";21346;0
"CD Universidad de Valladolid	";728332;0
"CD Universidad de Valladolid	";16963;0
"CD Universidad de Valladolid	";21514;0
"CD Universidad de Valladolid	";535;0
Oviedo B;1004477;0
Oviedo B;1005847;0
