Team;Lidnummer;Positie
Soria-CS24;725682;0
Soria-CS24;14615;0
Soria-CS24;12308;0
Palma;3054;0
Drop Valencia;21712;0
Palma;21715;0
Cura Mora;7265;0
Palma;40941;0
Maó;6073;0
Benalmádena B;12032;0
Benalmádena B;14316;0
Benalmádena B;906;0
Benalmádena B;519;0
Benalmádena B;12028;0
Benalmádena B;14368;0
Benalmádena B;17601;0
Benalmádena B;18996;0
Benalmádena B;20128;0
Benalmádena B;323;0
Burgos;20404;0
Burgos;19629;0
Burgos;19630;0
Burgos;31195;0
Burgos;21340;0
Burgos;31194;0
Burgos;430;0
Burgos;11679;0
Burgos;20403;0
Burgos;10075;0
Burgos;20406;0
Burgos;40900;0
Burgos;1427;0
Tenzul El Rosario;9317;0
Cura Mora;9024;0
Recreativo IES La Orden B;446;0
Cura Mora;4373;0
Tenzul El Rosario;12363;0
Estella;19199;0
Recreativo IES La Orden B;14552;0
Recreativo IES La Orden B;692;0
Recreativo IES La Orden B;691;0
Recreativo IES La Orden B;1071;0
Recreativo IES La Orden B;2689;0
Recreativo IES La Orden B;35;0
Recreativo IES La Orden B;448;0
Recreativo IES La Orden B;5125;0
Recreativo IES La Orden B;1004042;0
CIDE;12150;0
CIDE;42109;0
CIDE;1000851;0
CIDE;726573;0
CIDE;728447;0
CIDE;30266;0
CIDE;30277;0
CIDE;12255;0
CIDE;725217;0
CIDE;20284;0
CIDE;1008114;0
CIDE;729831;0
CIDE;20573;0
CIDE;10723;0
Cura Mora;12415;0
Cura Mora;15392;0
Cura Mora;15407;0
Cura Mora;1002477;0
Cura Mora;30162;0
Cura Mora;8995;0
Cura Mora;15402;0
Cura Mora;15410;0
Drop Valencia;12885;0
Drop Valencia;16694;0
Drop Valencia;18873;0
Drop Valencia;729683;0
Drop Valencia;61;0
Drop Valencia;41021;0
Drop Valencia;1005444;0
Drop Valencia;729682;0
Drop Valencia;9222;0
Drop Valencia;18759;0
Drop Valencia;21199;0
Drop Valencia;8604;0
Drop Valencia;1002936;0
Drop Valencia;19598;0
CIDE;17724;0
Drop Valencia;19596;0
Estella;4443;0
Estella;19633;0
Estella;20270;0
Estella;2754;0
Estella;1004377;0
Estella;1028;0
Estella;1696;0
Estella;20231;0
Maó;1137;0
Larios Rental Jorge Guillen;1004226;0
Larios Rental Jorge Guillen;421;0
Larios Rental Jorge Guillen;16872;0
Larios Rental Jorge Guillen;1004046;0
Larios Rental Jorge Guillen;7917;0
Larios Rental Jorge Guillen;16873;0
Larios Rental Jorge Guillen;2234;0
Larios Rental Jorge Guillen;18712;0
Larios Rental Jorge Guillen;64;0
Larios Rental Jorge Guillen;725293;0
Maó;727801;0
Maó;727880;0
Maó;14973;0
Maó;5019;0
Maó;1004030;0
Maó;1004169;0
Maó;6220;0
Maó;6935;0
Maó;2356;0
Maó;3022;0
Maó;1007735;0
Maó;751452;0
Maó;1004008;0
Maó;13106;0
Maó;6999;0
Cura Mora;6650;0
Cura Mora;8870;0
Estella;20467;0
Burgos;8908;0
Drop Valencia;30031;0
Soria-CS24;11761;0
Palma;752;0
Palma;727925;0
Soria-CS24;725492;0
Soria-CS24;19042;0
Soria-CS24;12459;0
Soria-CS24;313;0
Soria-CS24;16625;0
Soria-CS24;317;0
Soria-CS24;11069;0
Soria-CS24;10642;0
Tenzul El Rosario;8002;0
Tenzul El Rosario;7454;0
Tenzul El Rosario;7997;0
Tenzul El Rosario;10143;0
Tenzul El Rosario;10830;0
Tenzul El Rosario;1009764;0
Tenzul El Rosario;7530;0
Tenzul El Rosario;1009765;0
Tenzul El Rosario;4782;0
Tenzul El Rosario;8504;0
Tenzul El Rosario;7309;0
Tenzul El Rosario;1007073;0
Cura Mora;751077;0
Cura Mora;7786;0
Cura Mora;751075;0
Cura Mora;11056;0
Palma;9198;0
Palma;1000171;0
Palma;5872;0
Palma;1010157;0
Palma;1003809;0
Palma;1003008;0
Palma;1010164;0
Palma;21270;0
