Team;Lidnummer;Positie
Albatros;31006;0
Albatros;726290;0
Albatros;7593;0
Albatros;21200;0
Albatros;729729;0
Albatros;11396;0
Albatros;752956;0
Albatros;729731;0
Albatros;729735;0
Albatros;1003339;0
Alfajarín;729919;0
Alfajarín;726389;0
Alfajarín;40455;0
Alfajarín;1006565;0
Alfajarín;21766;0
Alfajarín;16689;0
A Mariña;20828;0
A Mariña;30471;0
Auria;8450;0
Auria;8360;0
Auria;1009884;0
Auria;730148;0
Auria;1008868;0
Auria;10360;0
Auria;10361;0
Auria;11755;0
Auria;6740;0
Auria;1009883;0
Las Torres;21500;0
Las Torres;12017;0
Las Torres;40727;0
Las Torres;726192;0
Las Torres;730217;0
Las Torres;30767;0
Las Torres;727343;0
Las Torres;17135;0
Las Torres;730097;0
Las Torres;16530;0
Las Torres;40711;0
Las Torres;40712;0
A Mariña;1180;0
A Mariña;10983;0
A Mariña;15050;0
A Mariña;20982;0
A Mariña;16605;0
A Mariña;17476;0
A Mariña;14687;0
A Mariña;31033;0
A Mariña;21014;0
Hinojeros Granadilla;14657;0
Hinojeros Granadilla;15827;0
Hinojeros Granadilla;10413;0
Hinojeros Granadilla;8405;0
Hinojeros Granadilla;10402;0
Hinojeros Granadilla;11744;0
Hinojeros Granadilla;8407;0
Hinojeros Granadilla;6739;0
Hinojeros Granadilla;1000753;0
Hinojeros Granadilla;10419;0
Hinojeros Granadilla;12979;0
Hinojeros Granadilla;10387;0
Hinojeros Granadilla;730618;0
Hinojeros Granadilla;10506;0
Caparina Candelaria;1005875;0
Caparina Candelaria;12218;0
Caparina Candelaria;10786;0
Caparina Candelaria;10404;0
Caparina Candelaria;42010;0
Caparina Candelaria;1010097;0
Caparina Candelaria;725177;0
Caparina Candelaria;730821;0
Caparina Candelaria;1010057;0
Caparina Candelaria;1009134;0
Caparina Candelaria;15512;0
Caparina Candelaria;16173;0
Caparina Candelaria;1010056;0
Hinojeros Granadilla;4295;0
Goose Wings;1001317;0
Goose Wings;21549;0
Goose Wings;21550;0
Goose Wings;729617;0
Goose Wings;726285;0
Goose Wings;1004145;0
Goose Wings;729623;0
Goose Wings;10184;0
Goose Wings;730940;0
Goose Wings;21548;0
Valladolid;753140;0
Caparina Candelaria;18878;0
A Mariña;16606;0
Caparina Candelaria;752375;0
Caparina Candelaria;6307;0
Hinojeros Granadilla;1178;0
Las Torres;17139;0
Tenzul El Rosario B;10809;0
Tenzul El Rosario B;6149;0
Tenzul El Rosario B;11400;0
Tenzul El Rosario B;30856;0
Tenzul El Rosario B;753207;0
Tenzul El Rosario B;727482;0
Tenzul El Rosario B;18816;0
Tenzul El Rosario B;10422;0
Tenzul El Rosario B;6579;0
Tenzul El Rosario B;19440;0
Las Torres;522;0
Valladolid;15248;0
Valladolid;727202;0
Valladolid;727025;0
Valladolid;8792;0
Valladolid;74025;0
Valladolid;30028;0
Valladolid;8801;0
Valladolid;725656;0
Valladolid;728325;0
Valladolid;8793;0
Valladolid;1376;0
Valladolid;40261;0
Tenzul El Rosario B;1001135;0
Caparina Candelaria;21013;0
Viladecans BCN;31044;0
Viladecans BCN;19387;0
Viladecans BCN;31045;0
Viladecans BCN;16451;0
Viladecans BCN;1004860;0
Viladecans BCN;725431;0
Viladecans BCN;725559;0
Viladecans BCN;10279;0
Viladecans BCN;725542;0
Viladecans BCN;16535;0
Viladecans BCN;20861;0
Goose Wings;5986;0
Alfajarín;729924;0
Alfajarín;31180;0
Alfajarín;1001963;0
Alfajarín;1003879;0
