ClubNumber;ClubName;MembershipName;Club Total;Total;Male;Female
MUR-215;30740 CLUB DEPORTIVO;Arbitro de pista;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Entrenador de Club;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Entrenador Nacional;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Entrenador Provincial;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Entrenador Territorial;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Escolares;51;16;5;11
MUR-215;30740 CLUB DEPORTIVO;Homologada;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Individual;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Juez-Arbitro;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Match Control;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Monitor con HN;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Nacional;51;23;17;6
MUR-215;30740 CLUB DEPORTIVO;Promocional;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Provincial;51;0;0;0
MUR-215;30740 CLUB DEPORTIVO;Territorial;51;12;6;6
MAD-7784;3KAN  BADMINTON;Arbitro de pista;0;0;0;0
MAD-7784;3KAN  BADMINTON;Entrenador de Club;0;0;0;0
MAD-7784;3KAN  BADMINTON;Entrenador Nacional;0;0;0;0
MAD-7784;3KAN  BADMINTON;Entrenador Provincial;0;0;0;0
MAD-7784;3KAN  BADMINTON;Entrenador Territorial;0;0;0;0
MAD-7784;3KAN  BADMINTON;Escolares;0;0;0;0
MAD-7784;3KAN  BADMINTON;Homologada;0;0;0;0
MAD-7784;3KAN  BADMINTON;Individual;0;0;0;0
MAD-7784;3KAN  BADMINTON;Juez-Arbitro;0;0;0;0
MAD-7784;3KAN  BADMINTON;Match Control;0;0;0;0
MAD-7784;3KAN  BADMINTON;Monitor con HN;0;0;0;0
MAD-7784;3KAN  BADMINTON;Nacional;0;0;0;0
MAD-7784;3KAN  BADMINTON;Promocional;0;0;0;0
MAD-7784;3KAN  BADMINTON;Provincial;0;0;0;0
MAD-7784;3KAN  BADMINTON;Territorial;0;0;0;0
CyL-91;89;Arbitro de pista;13;0;0;0
CyL-91;89;Entrenador de Club;13;0;0;0
CyL-91;89;Entrenador Nacional;13;0;0;0
CyL-91;89;Entrenador Provincial;13;0;0;0
CyL-91;89;Entrenador Territorial;13;0;0;0
CyL-91;89;Escolares;13;0;0;0
CyL-91;89;Homologada;13;0;0;0
CyL-91;89;Individual;13;0;0;0
CyL-91;89;Juez-Arbitro;13;0;0;0
CyL-91;89;Match Control;13;0;0;0
CyL-91;89;Monitor con HN;13;0;0;0
CyL-91;89;Nacional;13;5;3;2
CyL-91;89;Promocional;13;0;0;0
CyL-91;89;Provincial;13;0;0;0
CyL-91;89;Territorial;13;8;2;6
EXT-1985;A. VALDEFUENTES;Arbitro de pista;0;0;0;0
EXT-1985;A. VALDEFUENTES;Entrenador de Club;0;0;0;0
EXT-1985;A. VALDEFUENTES;Entrenador Nacional;0;0;0;0
EXT-1985;A. VALDEFUENTES;Entrenador Provincial;0;0;0;0
EXT-1985;A. VALDEFUENTES;Entrenador Territorial;0;0;0;0
EXT-1985;A. VALDEFUENTES;Escolares;0;0;0;0
EXT-1985;A. VALDEFUENTES;Homologada;0;0;0;0
EXT-1985;A. VALDEFUENTES;Individual;0;0;0;0
EXT-1985;A. VALDEFUENTES;Juez-Arbitro;0;0;0;0
EXT-1985;A. VALDEFUENTES;Match Control;0;0;0;0
EXT-1985;A. VALDEFUENTES;Monitor con HN;0;0;0;0
EXT-1985;A. VALDEFUENTES;Nacional;0;0;0;0
EXT-1985;A. VALDEFUENTES;Promocional;0;0;0;0
EXT-1985;A. VALDEFUENTES;Provincial;0;0;0;0
EXT-1985;A. VALDEFUENTES;Territorial;0;0;0;0
EXT-1970;A. VALDEMORALES;Arbitro de pista;0;0;0;0
EXT-1970;A. VALDEMORALES;Entrenador de Club;0;0;0;0
EXT-1970;A. VALDEMORALES;Entrenador Nacional;0;0;0;0
EXT-1970;A. VALDEMORALES;Entrenador Provincial;0;0;0;0
EXT-1970;A. VALDEMORALES;Entrenador Territorial;0;0;0;0
EXT-1970;A. VALDEMORALES;Escolares;0;0;0;0
EXT-1970;A. VALDEMORALES;Homologada;0;0;0;0
EXT-1970;A. VALDEMORALES;Individual;0;0;0;0
EXT-1970;A. VALDEMORALES;Juez-Arbitro;0;0;0;0
EXT-1970;A. VALDEMORALES;Match Control;0;0;0;0
EXT-1970;A. VALDEMORALES;Monitor con HN;0;0;0;0
EXT-1970;A. VALDEMORALES;Nacional;0;0;0;0
EXT-1970;A. VALDEMORALES;Promocional;0;0;0;0
EXT-1970;A. VALDEMORALES;Provincial;0;0;0;0
EXT-1970;A. VALDEMORALES;Territorial;0;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Arbitro de pista;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Entrenador de Club;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Entrenador Nacional;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Entrenador Provincial;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Entrenador Territorial;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Escolares;25;25;12;13
EXT-1984;A. ZARZA LA MAYOR;Homologada;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Individual;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Juez-Arbitro;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Match Control;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Monitor con HN;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Nacional;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Promocional;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Provincial;25;0;0;0
EXT-1984;A. ZARZA LA MAYOR;Territorial;25;0;0;0
MAD-379;A.D. NUEVO BAZTAN;Arbitro de pista;0;0;0;0
MAD-379;A.D. NUEVO BAZTAN;Entrenador de Club;0;0;0;0
MAD-379;A.D. NUEVO BAZTAN;Entrenador Nacional;0;0;0;0
MAD-379;A.D. NUEVO BAZTAN;Entrenador Provincial;0;0;0;0
